"Volume","VolumeMissing"
76656300,76656300
64431100,64431100
68549500,68549500
94022700,94022700
84795800,84795800
64433900,64433900
72645800,72645800
7.3e+07,NA
64852600,64852600
47297100,47297100
44925500,44925500
57239500,57239500
84555800,84555800
67714900,67714900
73965900,73965900
60543900,60543900
55847600,55847600
91360800,91360800
54027200,54027200
59342200,59342200
74191900,74191900
49959200,49959200
85981400,85981400
62659300,62659300
58508800,58508800
50134100,50134100
64640600,64640600
53730100,53730100
42007500,42007500
41266300,NA
37209500,37209500
45022200,45022200
37080900,37080900
35393400,35393400
33647800,33647800
41514400,41514400
61622800,61622800
49116200,49116200
47531600,47531600
41994500,41994500
47310800,47310800
59906400,59906400
56376100,56376100
34775000,34775000
44417800,44417800
39665300,39665300
53488500,53488500
47217900,47217900
29592100,29592100
37797600,37797600
47272800,47272800
38761100,38761100
60601900,60601900
37894700,37894700
51625800,51625800
72646300,72646300
75686000,75686000
68334700,68334700
41072800,41072800
54088900,54088900
41032400,41032400
41913100,41913100
54910400,54910400
27854300,27854300
60427600,60427600
43070200,43070200
45895500,45895500
30366800,30366800
28358600,28358600
34780200,34780200
33729600,33729600
54522800,54522800
49436600,49436600
38578300,38578300
22120800,22120800
35630900,35630900
37375700,37375700
30139400,30139400
41241500,41241500
50333800,50333800
49223400,49223400
42796300,42796300
65739200,65739200
104487600,104487600
71663500,71663500
54602300,54602300
50444200,50444200
35057400,35057400
38032700,38032700
35538100,35538100
46221000,46221000
35482900,35482900
30514600,30514600
50354000,50354000
45023900,45023900
74140400,74140400
35671500,35671500
54176800,54176800
44101300,44101300
49096000,49096000
35734300,35734300
33800700,33800700
30830500,30830500
27561900,27561900
33348300,33348300
38692500,38692500
60330900,60330900
36548500,36548500
35088800,35088800
42316100,42316100
32548500,32548500
38858200,38858200
27995600,27995600
54856600,54856600
37922200,37922200
44788800,44788800
38127600,38127600
54390700,54390700
71243200,71243200
81642600,81642600
72749200,72749200
51654400,51654400
81412400,81412400
56115100,56115100
86255200,86255200
70338800,70338800
116397800,116397800
79136200,79136200
65914600,65914600
48082100,48082100
58791700,58791700
72640600,72640600
44631700,44631700
52207600,NA
75582600,75582600
67181500,67181500
49112300,49112300
36853400,36853400
42528700,42528700
52538600,52538600
76342800,76342800
64736500,64736500
44391600,44391600
53540600,53540600
91448800,91448800
49862900,49862900
42197000,42197000
46022200,46022200
41881700,41881700
41092700,41092700
56318500,56318500
45505200,45505200
46369900,46369900
52532700,52532700
64549300,64549300
54534000,54534000
49877700,49877700
42474800,42474800
63152300,63152300
59713700,59713700
64845900,64845900
40852500,40852500
47878400,47878400
68022300,68022300
78499200,78499200
58207300,58207300
39647000,39647000
47857300,47857300
41297200,41297200
55275700,55275700
17574100,17574100
53246100,53246100
80781000,80781000
61282400,61282400
45961000,45961000
42399600,42399600
43008300,43008300
44357600,44357600
75429600,75429600
58338000,58338000
59279300,59279300
41557600,41557600
46751600,46751600
50047800,50047800
51006500,51006500
46155500,46155500
39108700,39108700
39780800,39780800
39961400,39961400
49423400,49423400
57817500,57817500
8673800,8673800
23231600,23231600
22443900,22443900
27584200,27584200
27975400,27975400
42357300,42357300
91464500,91464500
65032900,65032900
48808800,48808800
35636600,35636600
59083800,59083800
51679400,51679400
39583200,39583200
58696400,58696400
57115500,57115500
76428600,76428600
50498800,50498800
51643600,51643600
52957100,52957100
49429000,49429000
53902500,53902500
35832800,35832800
29919400,29919400
44733000,44733000
47008900,47008900
63035000,63035000
39369800,39369800
38594200,38594200
40974500,40974500
51612200,51612200
46596000,46596000
60722800,60722800
37651700,37651700
37593400,37593400
36786800,36786800
44874100,44874100
47587600,47587600
44224000,44224000
63430900,63430900
76409400,76409400
56059600,56059600
52400300,52400300
61576000,61576000
57714000,57714000
64454700,64454700
58489400,58489400
57664400,57664400
68035700,68035700
44898700,44898700
55171900,55171900
70218400,70218400
40275400,40275400
37674800,37674800
56552400,56552400
39862300,39862300
49693300,49693300
38894600,38894600
33498000,33498000
51105500,51105500
36841700,36841700
33576400,33576400
42929400,42929400
37563100,37563100
38028800,38028800
33005100,33005100
32592200,32592200
37849000,37849000
42763300,42763300
43744800,43744800
32757200,32757200
45247300,45247300
61982800,61982800
60569500,60569500
42024500,42024500
40682600,40682600
42941400,42941400
60448200,60448200
63790400,63790400
45465200,45465200
34806900,34806900
34145800,34145800
42582500,42582500
38224600,38224600
49886000,NA
39343600,39343600
40652200,40652200
45052800,45052800
46014800,46014800
41815600,41815600
50945400,50945400
44269700,44269700
55914400,55914400
58152400,58152400
41394900,41394900
43997500,43997500
40695200,40695200
57087400,57087400
53419600,53419600
37284100,37284100
53195200,53195200
37234800,37234800
48063600,48063600
41216600,41216600
42332100,42332100
26029600,26029600
42888200,42888200
35346600,35346600
40982400,40982400
38515500,38515500
34869600,34869600
49303700,49303700
41646700,41646700
53854700,53854700
151697500,151697500
67962100,67962100
69932400,69932400
76957400,76957400
49372400,49372400
50410100,50410100
53044600,53044600
51943800,51943800
65481800,65481800
76656900,76656900
80815300,80815300
70345000,70345000
68249700,68249700
84988500,84988500
72620200,72620200
63858200,63858200
48681300,48681300
77807700,77807700
63562800,63562800
34149100,34149100
57648600,57648600
53507600,53507600
73848000,73848000
89828400,89828400
74887900,74887900
79892000,79892000
98863000,98863000
96553800,96553800
57109500,57109500
62042100,62042100
77366100,77366100
71030900,71030900
83101300,83101300
80606500,80606500
57020100,57020100
55085100,55085100
60407100,60407100
54030300,54030300
55134100,55134100
55576300,55576300
59625800,59625800
83272800,83272800
71381700,71381700
60914400,60914400
45576200,45576200
35477300,35477300
48730600,48730600
55038600,55038600
51558800,51558800
54921500,54921500
51720400,51720400
45347100,45347100
57883400,57883400
55744000,55744000
48371600,48371600
46069000,46069000
60623500,60623500
55663700,55663700
50516700,50516700
32857100,32857100
58140400,58140400
66790200,66790200
86969600,86969600
77957400,77957400
51444400,51444400
57279400,57279400
45864800,45864800
48750200,48750200
44670900,44670900
41224000,41224000
55756400,55756400
51894800,51894800
56278400,NA
76653900,76653900
62986100,62986100
84156500,84156500
72720800,72720800
72311200,72311200
65195700,65195700
76123100,76123100
68218600,68218600
78381500,78381500
61416800,61416800
65440500,65440500
56912400,56912400
85399200,85399200
81753200,81753200
83505000,83505000
77757500,77757500
48236600,48236600
109131100,109131100
155210300,155210300
103266700,103266700
73323700,73323700
87945600,87945600
74188700,74188700
91799700,91799700
86356300,86356300
69819200,69819200
85986500,85986500
79050400,79050400
80766700,80766700
77160500,77160500
85017800,85017800
80962600,80962600
71532500,71532500
81286600,81286600
66486000,66486000
49747500,49747500
40879200,40879200
54639500,54639500
65938300,65938300
64924500,64924500
73472600,73472600
52772600,52772600
51321400,51321400
64934300,64934300
90938900,90938900
59559700,59559700
53680200,53680200
70854100,70854100
50910900,50910900
20667400,20667400
83017000,NA
53659700,53659700
75039800,75039800
87944700,87944700
71640400,71640400
71922900,71922900
58576400,58576400
55585900,55585900
54295800,54295800
53468200,53468200
51245600,51245600
52191400,52191400
54053300,54053300
59466800,59466800
69088400,69088400
35447500,35447500
21515900,21515900
29989200,NA
31252300,31252300
56796600,56796600
49986600,49986600
57135100,57135100
50271500,50271500
57114300,57114300
63853500,63853500
55719700,55719700
58692700,58692700
54995200,54995200
66865000,66865000
80562500,80562500
99754800,99754800
54420100,54420100
67963800,67963800
57401500,57401500
60169100,60169100
51948900,51948900
60831600,60831600
56559500,56559500
58387000,58387000
63040400,63040400
55537500,55537500
65637900,65637900
43773800,43773800
41066900,41066900
50881700,50881700
47355000,47355000
49537900,49537900
52977000,52977000
47251200,47251200
38401800,38401800
54625400,54625400
54749800,54749800
50500400,50500400
51793600,51793600
52122900,52122900
61341900,61341900
49143300,49143300
58507600,58507600
53413000,53413000
50289500,50289500
65249200,65249200
58274100,58274100
50779600,50779600
49337000,49337000
56422200,56422200
91034200,91034200
57545600,57545600
49677600,49677600
61890000,61890000
78008100,78008100
73086100,73086100
77678200,77678200
62210200,62210200
64608400,64608400
68798500,68798500
73448400,73448400
64780300,64780300
60596500,60596500
44360100,44360100
46430300,46430300
37304200,37304200
66443100,66443100
45993300,45993300
56811800,56811800
55164700,55164700
56633700,56633700
59299000,59299000
48778100,48778100
56516400,56516400
44893000,44893000
41744200,41744200
41620500,41620500
62708600,62708600
106294400,106294400
68959100,68959100
50354700,50354700
60474700,60474700
63125000,63125000
65451700,65451700
60849000,60849000
51125000,51125000
60841900,60841900
64415500,64415500
52929100,52929100
59571700,NA
55276200,55276200
62109200,62109200
53515100,53515100
54055600,54055600
51872500,51872500
68815600,68815600
46439800,46439800
57713200,57713200
71834200,71834200
56693900,56693900
59059300,59059300
56797200,56797200
49470700,49470700
60999000,60999000
36898400,36898400
71371300,71371300
69176900,69176900
122283700,122283700
69245000,69245000
73472400,73472400
67898600,67898600
79271300,79271300
88161800,88161800
105871500,105871500
50303400,50303400
52440200,52440200
54241500,54241500
59508600,59508600
58853400,58853400
52015900,52015900
50766600,50766600
62519500,62519500
69563700,69563700
78909400,78909400
59628100,59628100
63799700,63799700
61250600,61250600
52904900,52904900
63348200,63348200
51457500,51457500
64496600,64496600
74291500,74291500
40502400,40502400
56553100,56553100
64980800,64980800
78521900,78521900
63261600,63261600
46535400,46535400
76909400,76909400
102323700,102323700
128925700,128925700
71736800,71736800
65296900,65296900
52851200,52851200
61074300,61074300
49058200,49058200
58119100,58119100
52627700,52627700
45462200,45462200
68217600,68217600
40786200,40786200
68692100,68692100
48494900,48494900
53570000,53570000
51979800,51979800
57799000,57799000
48517800,48517800
57453600,57453600
41624600,41624600
48475100,48475100
51882500,51882500
51830000,51830000
21622800,21622800
59081000,59081000
55966300,NA
47210300,47210300
66434900,66434900
120604100,120604100
52037500,52037500
65213400,65213400
58217200,58217200
48631600,48631600
41986600,41986600
58841200,58841200
60714800,60714800
63744700,63744700
68429900,68429900
52154000,52154000
49792900,49792900
57999300,57999300
56654900,56654900
51931600,51931600
36350400,36350400
48748000,48748000
52827300,52827300
46619000,46619000
53550300,53550300
48490600,48490600
43934300,43934300
59596400,59596400
57560700,NA
68682000,68682000
65800400,NA
63410200,63410200
59519900,59519900
42385100,42385100
66635500,66635500
28955800,28955800
47943100,47943100
41147400,41147400
76072800,76072800
46206700,46206700
41697500,41697500
66909700,66909700
110833700,110833700
55199000,NA
52536500,52536500
43090700,43090700
50250800,NA
49873700,49873700
48215300,48215300
55915500,55915500
37237300,37237300
57041700,57041700
47727900,47727900
55581700,55581700
39557700,39557700
53324900,53324900
42009400,42009400
45615300,45615300
42140200,42140200
48461500,48461500
54424600,54424600
41184300,41184300
49291000,49291000
52569600,52569600
59409400,59409400
64927100,64927100
57338800,57338800
47996500,47996500
59523800,59523800
45646200,45646200
45783200,45783200
38861700,38861700
42781700,42781700
13253800,13253800
47063000,47063000
41987300,41987300
49743600,49743600
61217300,61217300
66215400,66215400
66864300,66864300
81626300,81626300
81153700,81153700
56879100,56879100
48042500,48042500
60872700,60872700
56367000,56367000
57924100,57924100
52707200,52707200
55145700,55145700
33894800,33894800
37282300,37282300
15596500,15596500
11868800,11868800
36514900,36514900
31563100,31563100
32092800,32092800
37343200,37343200
42611900,42611900
38007600,38007600
63665000,63665000
50596000,50596000
56841100,56841100
50664500,50664500
68191900,68191900
75452000,75452000
82565000,82565000
54502900,54502900
47694300,47694300
56228700,56228700
51950200,51950200
45845000,45845000
41329300,41329300
51436200,51436200
61499400,61499400
84928900,84928900
64192400,64192400
65039500,65039500
62375400,62375400
79361900,79361900
74618700,74618700
55401000,55401000
36540300,36540300
36344100,36344100
52150100,52150100
38205500,38205500
63292500,63292500
40220700,40220700
42232600,NA
60100700,60100700
70620300,70620300
92175800,92175800
68433000,68433000
54661900,54661900
45906300,45906300
58987700,58987700
65372800,65372800
65223700,65223700
68249000,NA
60135800,60135800
118682400,118682400
105763200,105763200
92538800,92538800
88033100,88033100
97958600,97958600
56526800,56526800
54857000,54857000
67306500,67306500
55548300,55548300
70686100,70686100
83734500,83734500
73006200,73006200
70217700,70217700
69501200,69501200
84754400,84754400
65644100,65644100
66249300,66249300
62191000,62191000
57809100,57809100
55051700,55051700
78672000,78672000
47534500,47534500
70147800,70147800
72680200,72680200
71791400,71791400
51016700,51016700
83164700,83164700
79211500,79211500
90498900,90498900
63905000,63905000
51522500,51522500
50610200,50610200
61959800,61959800
65165300,65165300
65204700,65204700
56761000,56761000
53607000,53607000
61432500,61432500
76355500,76355500
71322000,71322000
61588700,61588700
60991900,60991900
41486800,41486800
54138700,54138700
69608900,69608900
71539700,71539700
82353000,82353000
81059000,81059000
59959000,59959000
51872800,51872800
64859800,64859800
55177200,55177200
77032600,77032600
52381300,52381300
46798400,46798400
45718100,45718100
65523400,65523400
50431600,50431600
55379500,55379500
